IG,JG
450,299
466,299
467,299
495,299
496,299
593,299
594,299
615,299
1077,299
1630,299
412,300
413,300
414,300
415,300
419,300
420,300
421,300
422,300
450,300
451,300
465,300
466,300
496,300
497,300
592,300
593,300
615,300
1077,300
1629,300
1630,300
415,301
416,301
417,301
418,301
419,301
451,301
464,301
465,301
497,301
498,301
592,301
615,301
616,301
1077,301
1629,301
451,302
452,302
462,302
463,302
464,302
498,302
499,302
553,302
554,302
555,302
556,302
557,302
558,302
559,302
560,302
561,302
562,302
591,302
592,302
616,302
617,302
618,302
1077,302
1629,302
452,303
453,303
454,303
461,303
462,303
499,303
553,303
562,303
563,303
564,303
591,303
618,303
619,303
620,303
621,303
1077,303
1629,303
454,304
455,304
456,304
457,304
458,304
459,304
460,304
461,304
499,304
552,304
553,304
564,304
565,304
566,304
591,304
621,304
622,304
623,304
624,304
625,304
626,304
1077,304
1629,304
499,305
552,305
566,305
567,305
568,305
569,305
589,305
590,305
591,305
626,305
627,305
632,305
633,305
634,305
635,305
1077,305
1629,305
499,306
551,306
552,306
569,306
570,306
571,306
572,306
573,306
574,306
575,306
576,306
577,306
578,306
579,306
580,306
581,306
582,306
583,306
584,306
585,306
586,306
587,306
588,306
589,306
627,306
628,306
629,306
630,306
631,306
632,306
635,306
636,306
637,306
638,306
639,306
653,306
654,306
655,306
656,306
657,306
658,306
659,306
660,306
1077,306
1629,306
499,307
551,307
639,307
640,307
641,307
642,307
643,307
644,307
645,307
646,307
647,307
648,307
649,307
650,307
651,307
652,307
653,307
660,307
661,307
662,307
663,307
664,307
665,307
666,307
667,307
668,307
1077,307
1629,307
499,308
551,308
668,308
669,308
670,308
671,308
672,308
673,308
1077,308
1629,308
499,309
550,309
551,309
673,309
674,309
675,309
676,309
1077,309
1629,309
499,310
550,310
676,310
677,310
1076,310
1077,310
1629,310
499,311
550,311
677,311
678,311
679,311
680,311
681,311
682,311
683,311
692,311
693,311
694,311
695,311
696,311
697,311
698,311
1076,311
1629,311
499,312
549,312
550,312
683,312
684,312
685,312
686,312
687,312
688,312
689,312
690,312
691,312
692,312
698,312
699,312
700,312
701,312
702,312
703,312
704,312
705,312
706,312
1076,312
1629,312
498,313
499,313
549,313
706,313
707,313
708,313
709,313
710,313
1076,313
1629,313
498,314
549,314
710,314
711,314
712,314
713,314
714,314
1076,314
1629,314
498,315
549,315
714,315
715,315
716,315
1076,315
1629,315
498,316
499,316
549,316
716,316
717,316
1076,316
1629,316
499,317
548,317
549,317
717,317
718,317
719,317
1075,317
1076,317
1629,317
499,318
500,318
501,318
548,318
719,318
720,318
1075,318
1629,318
501,319
547,319
548,319
720,319
721,319
1075,319
1629,319
501,320
502,320
546,320
547,320
721,320
722,320
1075,320
1628,320
1629,320
502,321
503,321
545,321
546,321
722,321
723,321
1075,321
1628,321
1629,321
503,322
504,322
531,322
532,322
533,322
534,322
535,322
536,322
544,322
545,322
723,322
724,322
1074,322
1075,322
1629,322
504,323
505,323
529,323
530,323
531,323
536,323
537,323
538,323
539,323
540,323
541,323
542,323
543,323
544,323
724,323
1074,323
1629,323
505,324
527,324
528,324
529,324
724,324
725,324
1074,324
1629,324
505,325
506,325
522,325
523,325
524,325
525,325
526,325
527,325
725,325
726,325
1074,325
1629,325
506,326
518,326
519,326
520,326
521,326
522,326
726,326
1073,326
1074,326
1629,326
506,327
516,327
517,327
518,327
726,327
727,327
1073,327
1629,327
1630,327
506,328
507,328
515,328
516,328
727,328
1073,328
1629,328
1630,328
507,329
514,329
515,329
727,329
728,329
1073,329
1629,329
507,330
508,330
514,330
728,330
729,330
1072,330
1073,330
1629,330
508,331
509,331
513,331
514,331
729,331
730,331
1072,331
1628,331
1629,331
509,332
510,332
511,332
512,332
513,332
730,332
1072,332
1627,332
1628,332
730,333
731,333
1072,333
1626,333
1627,333
731,334
732,334
1071,334
1072,334
1626,334
732,335
733,335
1071,335
1625,335
1626,335
733,336
734,336
1071,336
1624,336
1625,336
734,337
735,337
736,337
1071,337
1623,337
1624,337
736,338
737,338
1071,338
1622,338
1623,338
737,339
738,339
1071,339
1621,339
1622,339
738,340
739,340
740,340
1071,340
1620,340
1621,340
740,341
741,341
1071,341
1620,341
741,342
742,342
1071,342
1619,342
1620,342
742,343
743,343
744,343
1071,343
1619,343
744,344
745,344
746,344
747,344
1071,344
1618,344
1619,344
747,345
748,345
749,345
750,345
1071,345
1618,345
750,346
751,346
752,346
753,346
754,346
1071,346
1617,346
1618,346
754,347
755,347
756,347
757,347
758,347
759,347
760,347
761,347
762,347
763,347
764,347
765,347
766,347
767,347
768,347
769,347
770,347
771,347
1071,347
1072,347
1617,347
771,348
772,348
773,348
774,348
775,348
1072,348
1616,348
1617,348
775,349
776,349
777,349
1072,349
1615,349
1616,349
777,350
778,350
1072,350
1614,350
1615,350
778,351
779,351
1072,351
1613,351
1614,351
779,352
780,352
1072,352
1612,352
1613,352
780,353
781,353
782,353
1072,353
1610,353
1611,353
1612,353
782,354
783,354
1072,354
1609,354
1610,354
783,355
784,355
1072,355
1608,355
1609,355
784,356
785,356
1072,356
1607,356
1608,356
785,357
786,357
1072,357
1606,357
1607,357
786,358
787,358
1072,358
1606,358
787,359
788,359
1072,359
1073,359
1605,359
1606,359
788,360
789,360
1073,360
1605,360
789,361
790,361
1073,361
1605,361
790,362
791,362
1073,362
1605,362
791,363
1073,363
1605,363
791,364
792,364
1073,364
1605,364
792,365
1073,365
1604,365
1605,365
792,366
1073,366
1604,366
792,367
793,367
1073,367
1603,367
1604,367
793,368
1073,368
1603,368
793,369
1073,369
1601,369
1602,369
1603,369
793,370
794,370
1073,370
1598,370
1599,370
1600,370
1601,370
794,371
1073,371
1546,371
1547,371
1548,371
1549,371
1550,371
1551,371
1552,371
1553,371
1554,371
1555,371
1556,371
1557,371
1558,371
1559,371
1560,371
1561,371
1594,371
1595,371
1596,371
1597,371
1598,371
794,372
795,372
1073,372
1543,372
1544,372
1545,372
1546,372
1561,372
1562,372
1563,372
1592,372
1593,372
1594,372
795,373
1073,373
1542,373
1543,373
1563,373
1564,373
1589,373
1590,373
1591,373
1592,373
795,374
796,374
1073,374
1542,374
1564,374
1565,374
1566,374
1586,374
1587,374
1588,374
1589,374
796,375
1073,375
1541,375
1542,375
1566,375
1567,375
1568,375
1584,375
1585,375
1586,375
796,376
797,376
1073,376
1541,376
1568,376
1569,376
1570,376
1583,376
1584,376
797,377
798,377
1073,377
1540,377
1541,377
1570,377
1571,377
1582,377
1583,377
798,378
799,378
1073,378
1540,378
1571,378
1572,378
1573,378
1580,378
1581,378
1582,378
799,379
800,379
1073,379
1074,379
1540,379
1573,379
1574,379
1575,379
1578,379
1579,379
1580,379
800,380
801,380
1074,380
1539,380
1540,380
1575,380
1576,380
1577,380
1578,380
801,381
802,381
803,381
1074,381
1539,381
803,382
804,382
805,382
1074,382
1538,382
1539,382
805,383
806,383
807,383
1074,383
1538,383
807,384
808,384
809,384
1074,384
1537,384
1538,384
809,385
810,385
1074,385
1537,385
810,386
811,386
812,386
813,386
1073,386
1074,386
1535,386
1536,386
1537,386
813,387
814,387
815,387
1073,387
1532,387
1533,387
1534,387
1535,387
815,388
816,388
1073,388
1528,388
1529,388
1530,388
1531,388
1532,388
816,389
817,389
818,389
1072,389
1073,389
1525,389
1526,389
1527,389
1528,389
818,390
819,390
1072,390
1523,390
1524,390
1525,390
819,391
820,391
1072,391
1522,391
1523,391
820,392
821,392
1072,392
1520,392
1521,392
1522,392
821,393
822,393
823,393
1071,393
1072,393
1519,393
1520,393
823,394
824,394
1071,394
1518,394
1519,394
824,395
825,395
1071,395
1517,395
1518,395
825,396
826,396
1070,396
1071,396
1516,396
1517,396
826,397
827,397
1070,397
1515,397
1516,397
827,398
828,398
1069,398
1070,398
1514,398
1515,398
828,399
829,399
1068,399
1069,399
1513,399
1514,399
829,400
830,400
1068,400
1511,400
1512,400
1513,400
830,401
831,401
1067,401
1068,401
1510,401
1511,401
831,402
832,402
1067,402
1508,402
1509,402
1510,402
832,403
833,403
1066,403
1067,403
1506,403
1507,403
1508,403
833,404
1065,404
1066,404
1503,404
1504,404
1505,404
1506,404
833,405
834,405
1063,405
1064,405
1065,405
1500,405
1501,405
1502,405
1503,405
834,406
835,406
1061,406
1062,406
1063,406
1497,406
1498,406
1499,406
1500,406
835,407
1054,407
1055,407
1056,407
1057,407
1058,407
1059,407
1060,407
1061,407
1494,407
1495,407
1496,407
1497,407
835,408
1044,408
1045,408
1046,408
1047,408
1048,408
1049,408
1050,408
1051,408
1052,408
1053,408
1054,408
1492,408
1493,408
1494,408
835,409
1036,409
1037,409
1038,409
1039,409
1040,409
1041,409
1042,409
1043,409
1044,409
1490,409
1491,409
1492,409
835,410
1033,410
1034,410
1035,410
1036,410
